EmployeeNumber,Age,Age_group,Attrition,Attrition_flag,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Salary_slab,MonthlyRate,NumCompaniesWorked,OverTime,OverTime_flag,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,Tenure_Group,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
14,35,30-40,No,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,Low,16479,0,No,0,13,3,3,1,6,6-10,5,3,5,4,0,3
15,29,20-30,No,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,Low,12682,0,Yes,1,12,3,4,0,10,6-10,3,3,9,5,0,8
16,31,30-40,No,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,Low,15170,1,No,0,17,3,4,1,5,3-5,1,2,5,2,4,3
18,34,30-40,No,0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,Low,8758,0,No,0,11,3,3,1,3,3-5,2,3,2,2,1,2
19,28,20-30,Yes,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,Low,12947,5,Yes,1,14,3,2,0,6,6-10,4,3,4,2,0,3
20,29,20-30,No,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,Medium,10195,1,No,0,11,3,3,1,10,6-10,1,3,10,9,8,8
21,32,30-40,No,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,Low,15053,0,Yes,1,12,3,4,2,7,6-10,5,2,6,2,0,5
22,22,20-30,No,0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,Low,7324,1,Yes,1,13,3,2,2,1,0-2,2,2,1,0,0,0
23,53,50+,No,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,High,22021,2,No,0,16,3,3,0,31,10+,3,3,25,8,3,7
24,38,30-40,No,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,Low,4306,5,Yes,1,11,3,3,0,6,6-10,3,3,3,2,1,2
26,24,20-30,No,0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,Low,8232,0,No,0,18,3,4,1,5,3-5,5,2,4,2,1,3
27,36,30-40,Yes,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,Low,6986,7,No,0,23,4,2,0,10,6-10,4,3,5,3,0,3
28,34,30-40,No,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,High,21293,0,No,0,11,3,3,0,13,10+,4,3,12,6,2,11
30,21,20-30,No,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,Low,19281,1,No,0,14,3,4,0,0,0-2,6,3,0,0,0,0
31,34,30-40,Yes,1,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,Low,17102,2,No,0,11,3,3,0,8,6-10,2,3,4,2,1,3
32,53,50+,No,0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,High,10735,4,No,0,11,3,4,1,26,10+,3,2,14,13,4,8
33,32,30-40,Yes,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,Low,4681,1,Yes,1,22,4,2,0,10,6-10,5,3,10,2,6,7
35,42,40-50,No,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,Medium,21173,0,No,0,11,3,4,1,10,6-10,2,3,9,7,4,2
36,44,40-50,No,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,High,2094,3,No,0,14,3,4,1,24,10+,4,3,22,6,5,17
38,46,40-50,No,0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,High,22822,3,No,0,12,3,4,0,22,10+,2,2,2,2,2,1
39,33,30-40,No,0,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,Low,6670,4,No,0,11,3,4,0,7,6-10,3,3,1,1,0,0
40,44,40-50,No,0,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,Medium,19121,2,Yes,1,13,3,4,0,9,6-10,5,4,4,2,1,3
41,30,30-40,No,0,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,Low,16117,1,No,0,13,3,1,0,10,6-10,5,3,10,0,1,8
42,39,30-40,Yes,1,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,Low,3335,3,No,0,14,3,3,1,19,10+,6,4,1,0,0,0
45,24,20-30,Yes,1,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,Low,3020,2,Yes,1,16,3,1,1,6,6-10,2,2,2,0,2,0
46,43,40-50,No,0,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,Low,21923,1,No,0,12,3,4,2,6,6-10,3,2,5,3,1,4
47,50,50+,Yes,1,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,Low,3810,1,Yes,1,14,3,3,0,3,3-5,2,3,3,2,0,2
49,35,30-40,No,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,Low,9687,1,No,0,13,3,1,0,2,0-2,3,3,2,2,2,2
51,36,30-40,No,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,Low,13072,9,Yes,1,14,3,4,1,6,6-10,3,4,1,1,0,0
52,33,30-40,No,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,Medium,3193,2,No,0,19,3,1,2,10,6-10,3,3,5,3,1,3
53,35,30-40,No,0,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,Low,10910,1,No,0,12,3,3,1,1,0-2,3,3,1,0,0,0
54,27,20-30,No,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,Low,19715,1,No,0,13,3,4,1,1,0-2,6,3,1,0,0,0
55,26,20-30,Yes,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,Low,10558,1,No,0,12,3,3,0,1,0-2,2,2,1,0,0,1
56,27,20-30,No,0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,Medium,2975,1,No,0,15,3,4,0,9,6-10,0,3,9,8,1,7
57,30,30-40,No,0,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,Low,10781,1,No,0,23,4,4,0,12,10+,2,3,12,8,3,7
58,41,40-50,Yes,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,High,16280,1,No,0,12,3,4,0,23,10+,0,3,22,15,15,8
60,34,30-40,No,0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,Low,10034,0,No,0,20,4,3,0,10,6-10,2,3,9,5,8,7
61,37,30-40,No,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,Low,10227,4,No,0,21,4,1,0,8,6-10,1,3,1,0,0,0
62,46,40-50,No,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,Medium,20445,4,Yes,1,21,4,3,0,14,10+,4,3,9,6,0,8
63,35,30-40,No,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,Low,4892,1,No,0,19,3,4,0,1,0-2,2,3,1,0,0,1
64,48,40-50,Yes,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,Medium,19294,9,Yes,1,13,3,4,0,23,10+,2,3,1,0,0,0
65,28,20-30,Yes,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,Low,11179,1,Yes,1,13,3,3,0,2,0-2,3,2,2,2,2,2
68,44,40-50,No,0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,Medium,4009,5,Yes,1,21,4,3,1,9,6-10,2,2,4,3,1,3
70,35,30-40,No,0,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,Medium,8302,2,Yes,1,13,3,3,1,10,6-10,3,3,4,0,2,3
72,26,20-30,No,0,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,Low,21436,7,Yes,1,19,3,3,1,5,3-5,2,2,2,2,0,0
73,33,30-40,No,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,High,15146,1,Yes,1,12,3,3,0,15,10+,1,3,15,14,8,12
74,35,30-40,No,0,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,Medium,11031,1,No,0,22,4,4,1,9,6-10,3,2,9,8,1,8
75,35,30-40,No,0,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,Low,16002,3,Yes,1,15,3,3,1,4,3-5,3,3,2,2,2,2
76,31,30-40,No,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,Medium,9528,3,No,0,22,4,4,1,10,6-10,3,2,7,7,1,7
77,37,30-40,No,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,Medium,2689,1,No,0,18,3,3,1,7,6-10,2,4,7,5,0,7
78,32,30-40,No,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,Medium,10877,1,Yes,1,22,4,2,1,9,6-10,3,3,9,8,7,8
79,38,30-40,No,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,Low,5456,1,No,0,11,3,4,0,10,6-10,2,3,10,3,9,9
80,50,50+,No,0,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,High,16701,5,Yes,1,12,3,4,1,29,10+,2,2,27,3,13,8
81,59,50+,No,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,Medium,2354,7,No,0,11,3,4,0,28,10+,3,2,21,16,7,9
83,36,30-40,No,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,High,8202,1,No,0,13,3,2,3,17,10+,2,3,17,14,12,8
84,55,50+,No,0,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,High,19730,2,Yes,1,14,3,3,3,21,10+,2,3,5,0,0,2
85,36,30-40,No,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,Medium,22656,1,No,0,13,3,3,0,6,6-10,3,3,6,5,0,3
86,45,40-50,No,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,Medium,18787,2,No,0,17,3,3,1,25,10+,2,3,1,0,0,0
88,35,30-40,No,0,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,Low,5868,4,No,0,13,3,4,1,5,3-5,2,2,3,2,1,2
90,36,30-40,Yes,1,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,Low,21777,0,Yes,1,17,3,1,1,2,0-2,0,2,1,0,0,0
91,59,50+,No,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,Medium,24668,7,No,0,11,3,4,0,20,10+,2,2,4,3,1,3
94,29,20-30,No,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,Low,4956,0,No,0,23,4,4,1,6,6-10,3,3,5,4,0,4
95,31,30-40,No,0,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,Low,18775,1,No,0,17,3,2,0,1,0-2,4,3,1,1,1,0
96,32,30-40,No,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,Medium,7346,1,No,0,17,3,2,2,10,6-10,3,3,10,4,0,9
97,36,30-40,No,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,Low,22002,3,No,0,12,3,2,0,5,3-5,3,3,1,0,0,0
98,31,30-40,No,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,Low,20682,1,No,0,23,4,4,0,11,10+,2,3,11,7,1,8
100,35,30-40,No,0,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,Low,23016,0,No,0,14,3,2,0,16,10+,2,3,15,13,2,8
101,45,40-50,No,0,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,High,15067,4,Yes,1,14,3,2,0,17,10+,3,4,0,0,0,0
102,37,30-40,No,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,High,25258,4,No,0,13,3,1,0,16,10+,3,4,5,2,0,2
103,46,40-50,No,0,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,Medium,10425,8,Yes,1,22,4,4,1,16,10+,2,3,4,2,0,2
104,30,30-40,No,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,Medium,15998,1,Yes,1,12,3,3,2,10,6-10,1,2,10,8,3,0
105,35,30-40,No,0,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,Low,26278,1,No,0,18,3,1,0,6,6-10,3,3,6,4,0,4
106,55,50+,No,0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,High,18092,3,No,0,14,3,4,1,24,10+,4,3,1,0,1,0
107,38,30-40,No,0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,Medium,15717,7,Yes,1,12,3,4,3,17,10+,3,3,13,11,1,9
110,34,30-40,No,0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,Low,17736,1,No,0,15,3,3,0,5,3-5,2,3,5,2,1,3
112,56,50+,No,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,Medium,21698,4,No,0,11,3,1,0,37,10+,3,2,6,4,0,2
113,23,20-30,No,0,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,Low,9518,3,No,0,13,3,3,1,3,3-5,3,3,0,0,0,0
116,51,50+,No,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,Low,18725,3,No,0,23,4,2,2,10,6-10,4,3,4,2,0,3
117,30,30-40,No,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,Low,15830,1,No,0,19,3,1,3,11,10+,3,3,11,10,10,8
118,46,40-50,Yes,1,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619,Medium,13596,1,No,0,16,3,4,0,9,6-10,3,3,9,8,4,7
119,40,40-50,No,0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503,High,14115,1,No,0,22,4,4,1,22,10+,3,2,22,3,11,11
120,51,50+,No,0,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441,Medium,8423,0,Yes,1,22,4,4,0,11,10+,2,1,10,7,1,0
121,30,30-40,No,0,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209,Medium,19760,1,Yes,1,12,3,2,3,11,10+,4,2,11,8,2,7
124,46,40-50,No,0,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,High,3142,2,Yes,1,13,3,3,1,21,10+,5,2,10,9,9,5
125,32,30-40,No,0,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,Medium,24301,1,No,0,16,3,1,0,12,10+,0,3,11,8,5,7
126,54,50+,No,0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549,High,24001,9,No,0,12,3,1,1,16,10+,5,1,4,3,0,3
128,24,20-30,No,0,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999,Low,17519,0,No,0,21,4,1,1,4,3-5,2,2,3,2,0,2
129,28,20-30,No,0,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221,Low,8863,1,No,0,15,3,2,0,5,3-5,3,4,5,4,0,4
131,58,50+,No,0,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,13872,High,24409,0,No,0,13,3,3,0,38,10+,1,2,37,10,1,8
132,44,40-50,No,0,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042,Low,25043,4,No,0,12,3,3,1,17,10+,3,4,3,2,1,2
133,37,30-40,Yes,1,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073,Low,23648,4,Yes,1,22,4,4,0,7,6-10,3,3,3,2,0,2
134,32,30-40,No,0,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,2956,Low,15178,1,No,0,13,3,4,0,1,0-2,2,3,1,0,0,0
137,20,20-30,Yes,1,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926,Low,19783,1,Yes,1,18,3,2,0,1,0-2,5,3,1,0,1,0
138,34,30-40,No,0,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,4809,Low,12482,1,No,0,14,3,3,0,16,10+,3,3,16,13,2,10
139,37,30-40,No,0,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,Medium,15850,5,No,0,14,3,4,1,17,10+,2,4,1,0,0,0
140,59,50+,No,0,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,18844,High,21922,9,No,0,21,4,4,1,30,10+,3,3,3,2,2,2
141,50,50+,No,0,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,18172,High,9755,3,Yes,1,19,3,1,0,28,10+,1,2,8,3,0,7
142,25,20-30,Yes,1,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,5744,Medium,26959,1,Yes,1,11,3,4,0,6,6-10,1,3,6,4,0,3
143,25,20-30,No,0,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,2889,Low,26897,1,No,0,11,3,3,2,2,0-2,2,3,2,2,2,1
144,22,20-30,No,0,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,2871,Low,23785,1,No,0,15,3,3,0,1,0-2,5,3,0,0,0,0
145,51,50+,No,0,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,7484,Medium,25796,3,No,0,20,4,3,0,23,10+,1,2,13,12,12,8
147,34,30-40,Yes,1,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,6074,Medium,22887,1,Yes,1,24,4,4,0,9,6-10,3,3,9,7,0,6
148,54,50+,No,0,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,17328,High,13871,2,Yes,1,12,3,3,0,23,10+,3,3,5,3,4,4
150,24,20-30,No,0,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,2774,Low,13257,0,No,0,12,3,3,1,6,6-10,2,3,5,3,1,2
151,34,30-40,No,0,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,4505,Low,15000,6,No,0,15,3,3,1,12,10+,3,3,1,0,0,0
152,37,30-40,No,0,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,7428,Medium,14506,2,No,0,12,3,1,0,12,10+,3,3,5,3,1,3
153,34,30-40,No,0,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631,High,5615,2,No,0,12,3,4,0,14,10+,6,3,11,10,5,8
154,36,30-40,No,0,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,9738,Medium,22952,0,No,0,14,3,3,1,10,6-10,6,3,9,7,2,8
155,36,30-40,No,0,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,Low,2561,5,No,0,22,4,1,1,7,6-10,2,3,1,0,0,0
158,43,40-50,No,0,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,16959,High,19494,1,Yes,1,12,3,4,2,25,10+,3,4,25,12,4,12
159,30,30-40,No,0,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2613,Low,22310,1,No,0,25,4,3,3,10,6-10,2,2,10,7,0,9
160,33,30-40,No,0,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,6146,Medium,15480,0,No,0,13,3,1,1,8,6-10,2,4,7,7,0,7
161,56,50+,Yes,1,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,4963,Low,4510,9,Yes,1,18,3,1,3,7,6-10,2,3,5,4,4,3
162,51,50+,No,0,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,19537,High,6462,7,No,0,13,3,3,0,23,10+,5,3,20,18,15,15
163,31,30-40,Yes,1,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172,Medium,20739,4,Yes,1,18,3,2,0,12,10+,3,2,7,7,7,7
164,26,20-30,No,0,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,2368,Low,23300,1,No,0,19,3,3,0,5,3-5,3,2,5,4,4,3
165,58,50+,Yes,1,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,10312,High,3465,1,No,0,12,3,4,1,40,10+,3,2,40,10,15,6
167,19,20-30,Yes,1,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1675,Low,26820,1,Yes,1,19,3,4,0,0,0-2,2,2,0,0,0,0
169,22,20-30,No,0,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,2523,Low,19299,0,No,0,14,3,3,1,3,3-5,2,3,2,1,2,1
